endemic,"{'local', 'regional'}"
antipathy,"{'enmity', 'escape', 'ill will', 'animosity', 'hostility', 'distaste', 'incompatibility', 'avoidance', 'dyspathy', 'bad blood', 'allergy', 'repulsion', 'contrariety', 'aversion', 'hate', 'animus', 'loathing', 'hatred', 'opposition', 'abhorrence', 'eschewal', 'repellency', 'rancor', 'repugnance', 'antagonism', 'evasion'}"
rescind,"{'invalidate', 'backpedal', 'backwater', 'void', 'recall', 'nix', 'pull the plug', 'call off', 'weasel out', 'forget', 'crawl out of', 'remove', 'abrogate', 'wangle out', 'abolish', 'set aside', 'reverse', 'cancel', 'retract', 'repeal', 'lift', 'dismantle', 'revoke', 'annul', 'overturn', 'countermand', 'back out of', 'X-out', 'renege', 'scrub', 'quash'}"
craven,"{'wimpy', 'wimpish', 'gutless', 'cowardly', 'yellow', 'wussy', 'timorous', 'chicken', 'mean-spirited', 'scared', 'pusillanimous', 'fearful', 'poltroonish', 'lily-livered', 'dastardly', 'yellow-bellied', 'weak-kneed'}"
wretched,"{'despicable', 'cheap', 'weak', 'faulty', 'gloomy', 'hapless', 'vile', 'flimsy', 'disconsolate', 'unfortunate', 'pathetic', 'distressed', 'sorrowful', 'calamitous', 'bummed', 'worthless', 'deplorable', 'dolorous', 'inferior', 'low-down', 'downcast', 'melancholy', 'shabby', 'pitiable', 'contemptible', 'hopeless', 'down', 'pitiful', 'tragic', 'woeful', 'afflicted', 'woebegone', 'hurting', 'sordid', 'abject', 'paltry', 'down-and-out', 'spiritless', 'in the pits', 'unhappy', 'mean', 'base', 'low', 'forlorn', 'depressed', 'miserable', 'dejected', 'poor', 'shameful', 'sorry'}"
floundering,"{'grope', ""miss one's cue"", 'muddle', 'go at backwards', 'trip up', 'tumble', 'drop the ball', 'flop', 'labor', 'fall down', 'screw up', 'toss', 'stumble', 'plunge', ""stub one's toe"", 'flummox', 'come apart at the seams', 'cast about', 'snafu', 'thrash', 'toil', 'lurch', 'foul up', 'go to pieces', 'blunder', 'strive', 'make a mess of', 'fumble', 'slip up', 'wallow', 'work at', 'bobble', 'pratfall', 'travail'}"
florid,"{'sonorous', 'aureate', 'ornate', 'high-flown', 'decorative', 'figurative', 'luscious', 'garnished', 'fussy', 'embellished', 'flamboyant', 'magniloquent', 'rhetorical', 'euphuistic', 'rich', 'ornamented', 'pretentious', 'flowery', 'overblown', 'ornamental', 'grandiloquent', 'busy', 'baroque'}"
precipice,"{'height', 'steep', 'sheer drop', 'crag', 'cliff', 'bluff'}"
explicit,"{'clear-cut', 'accurate', 'precise', 'obvious', 'definitive', 'perspicuous', 'absolute', 'sure', 'unqualified', 'categorical', 'on the nose', 'outspoken', 'certain', 'correct', 'distinct', 'definite', 'positive', 'plain', 'exact', 'frank', 'unreserved', 'stated', 'clean-cut', 'patent', 'unequivocal', 'open', 'straightforward', 'express', 'understandable', 'clear', 'direct', 'lucid'}"
occlude,"{'hinder', 'leave out', 'seal', 'stop up', 'curb', 'lock out', 'fill', 'close out', 'choke', 'congest', 'plug', 'impede', 'throttle', 'close', 'stopper', 'shut', 'clog', 'obstruct'}"
superficial,"{'partial', 'warped', 'shallow', 'passing', 'desultory', 'trivial', 'one-dimensional', 'ostensible', 'flimsy', 'surface', 'on the surface', 'tip of the iceberg', 'cursory', 'glib', 'quick-fix', 'external', 'ignorant', 'seeming', 'half-baked', 'slapdash', 'hasty', 'summary', 'hurried', 'apparent', 'peripheral', 'uncritical', 'exterior', 'silly', 'skin-deep', 'general', 'perfunctory', 'outward', 'slight', 'empty', 'lightweight', 'flash', 'nodding', 'depthless', 'sketchy', 'frivolous', 'evident', 'casual', 'smattery', 'cosmetic', 'shoal', 'inattentive'}"
laudable,"{'worthy', 'praiseworthy', 'creditable', 'meritorious', 'terrific', 'excellent', 'thankworthy', 'estimable', 'of note', 'meritable', 'praisable', 'commendable', 'stellar', 'deserving', 'mean'}"
aberrant,"{'out of line', 'psycho', 'odd', 'off-color', 'abnormal', 'flaky', 'peculiar', 'off-base', 'different', 'strange', 'bizarre', 'unusual', 'nonstandard', 'atypical', 'mental', 'deviant', 'weird'}"
opaque,"{'murky', 'nontransparent', 'nubilous', 'gloomy', 'turbid', 'dull', 'darkened', 'dim', 'dirty', 'frosty', 'dark', 'obfuscated', 'hazy', 'shady', 'smoky', 'thick', 'muddied', 'filmy', 'lusterless', 'cloudy', 'blurred', 'misty', 'foggy', 'dusky', 'sooty', 'fuliginous', 'impenetrable', 'nontranslucent'}"
headlong,"{'rough', 'brash', 'sudden', 'abrupt', 'impetuous', 'rushing', 'precipitate', 'rash', 'precipitant', 'thoughtless', 'inconsiderate', 'hasty', 'daredevil', 'daring', 'impulsive', 'breakneck', 'foolhardy', 'hurried', 'tempestuous'}"
mitigate,"{'extenuate', 'tranquilize', 'dull', 'modify', 'palliate', 'temper', 'subdue', 'cool', 'pacify', 'ease', 'moderate', 'tone down', 'mollify', 'meet halfway', 'assuage', 'reduce', 'placate', 'calm', 'take the edge off', 'abate', 'relieve', 'soothe', 'quiet', 'soften', 'remit', 'come together', 'allay', 'alleviate', 'appease', 'lessen', 'blunt', 'weaken'}"
lucid,"{'clear-cut', 'knowable', 'pellucid', 'apprehensible', 'graspable', 'fathomable', 'unblurred', 'distinct', 'plain', 'comprehensible', 'comprehendible', 'limpid', 'intelligible', 'translucent', 'unambiguous', 'crystal clear', 'understandable', 'clear', 'explicit', 'transparent', 'luminous', 'transpicuous'}"
intransigent,"{'stubborn', 'adamant', 'obstinate', 'tenacious', 'resolute', 'inflexible'}"
eulogy,"{'glorification', 'laudation', 'tribute', 'commendation', 'salutation', 'accolade', 'compliment', 'adulation', 'citation', 'acclaim', 'applause', 'panegyric', 'plaudit', 'exaltation', 'encomium', 'paean'}"
dissemble,"{'counterfeit', 'hide', 'play possum', 'put up a front', 'affect', 'mask', 'put up a smoke screen', 'doublespeak', 'double-talk', 'fake', 'sham', 'pass', 'cloak', 'put on a false front', 'simulate', 'camouflage', 'conceal', 'cover up', 'whitewash', 'four-flush', 'dress up', 'shroud', 'let on', 'feign', 'make like', 'falsify', 'stonewall', 'put on a front', 'signify', 'put on an act', 'pussyfoot', 'cover', 'dissimulate', 'shuck and jive'}"
guile,"{'sharp practice', 'jive', 'foul play', 'deception', 'trickery', 'dissemblance', 'dissimulation', 'treachery', 'craft', 'run-around', 'dirty pool', 'artifice', 'double-cross', 'ruse', 'dirty dealing', 'craftiness', 'duplicity', 'artfulness', 'dirty trick', 'sellout', 'cunning', 'deceit', 'dirty work', 'wiliness', 'stab in the back', 'chicanery', 'dishonesty', 'trickiness'}"
hapless,"{'sad sack', 'voodooed', 'unlucky', 'luckless', 'star-crossed', 'ill-fated', 'jinxed', 'poor fish', 'infelicitous', 'behind the eightball', 'woeful', 'ill-starred', 'loser', 'unhappy', 'hexed', 'snakebit', 'cursed', 'miserable', 'jonah', 'wretched', 'untoward'}"
plethora,"{'overmuch', 'overflow', 'flood', 'much', 'overabundance', 'superfluity', 'glut', 'overkill', 'deluge', 'plenty', 'surplus', 'surfeit', 'many', 'superabundance', 'profusion'}"
philanthropy,"{'alms', 'dole', 'good works', 'assistance', 'altruism', 'alms-giving', 'generosity', 'contribution', 'endowment', 'beneficence', 'charity', 'gifting', 'relief', 'fund', 'benefaction', 'helping hand', 'donation'}"
verbose,"{'repetitive', 'talkative', 'talky', 'loquacious', 'tortuous', 'palaverous', 'repetitious', 'fustian', 'tedious', 'magniloquent', 'rhetorical', 'periphrastic', 'diffuse', 'tautologous', 'flowery', 'yacking', 'pleonastic', 'gabby', 'windy', 'grandiloquent', 'prolix', 'full of air', 'bombastic', 'repeating', 'involved', 'circumlocutory', 'tautological', 'redundant', 'garrulous'}"
caprice,"{'vein', 'gag', 'freak', 'humor', 'temper', 'notion', 'fancy', 'changeableness', 'mood', 'inconsistency', 'impulse', 'put on', 'bee', 'rib', 'contrariety', 'whimsy', 'caper', 'jerk', 'whim', 'fitfulness', 'perversity', 'vagary', 'peculiarity', 'fickleness', 'kink', 'fad', 'thought', 'fool notion', 'inconstancy', 'crotchet', 'quirk'}"
ineffable,"{'transcendental', 'sacred', 'heavenly', 'too sacred for words', 'inexpressible', 'indescribable', 'beyond words', 'empyreal', 'empyrean', 'unutterable', 'unspeakable', 'indefinable', 'incredible', 'holy', 'ethereal', 'transcendent', 'spiritual', 'untellable', 'celestial', 'incommunicable', 'nameless', 'ideal', 'divine', 'impossible'}"
irascible,"{'cantankerous', 'grouchy', 'short-tempered', 'fractious', 'irritable', 'ogre', 'bristly', 'cross', 'surly', 'hasty', 'hot-tempered', 'querulous', 'ireful', 'bearish', 'snappish', 'quick-tempered', 'feisty', 'petulant', 'crabbed', 'cranky', 'passionate', 'peevish', 'uptight', 'thin-skinned', 'angry', 'choleric', 'huffy', 'touchy', 'testy'}"
waver,"{'blow hot and cold', 'undulate', 'falter', 'change', 'pussyfoot around', 'run hot and cold', 'hem and haw', 'quiver', 'oscillate', 'wave', 'halt', 'vacillate', 'stagger', 'totter', 'tremble', 'be unable to decide', 'seesaw', 'deliberate', 'pause', 'hedge', 'yo-yo', 'dilly-dally', 'be irresolute', 'wobble', 'sway', 'weave', 'teeter', 'fluctuate', 'dither', 'whiffle', 'flicker', 'vary', 'shake', 'reel', 'trim', 'palter', 'hesitate', 'waffle'}"
saturnine,"{'cheerless', 'despondent', 'down in the dumps', 'desolate', 'sorrowful', 'melancholy', 'moping', 'down', 'hopeless', 'sullen', 'grave', 'woebegone', 'woeful', 'in low spirits', 'dour', 'sulky', 'morose', 'unhappy', 'sad', 'blue', 'solemn', 'in the dumps', 'low', 'forlorn', 'depressed', 'miserable', 'dispirited', 'dejected', 'glum'}"
malevolent,"{'hostile', 'tough', 'catty', 'rancorous', 'wicked', 'murderous', 'dirty', 'hellish', 'evil-minded', 'malicious', 'vengeful', 'spiteful', 'vicious', 'rough', 'poison', 'despiteful', 'malign', 'baleful', 'pernicious', 'sinister', 'vindictive', 'murder', 'bad-natured', 'malignant', 'lousy', 'evil', 'waspish'}"
savant,"{'intellectual', 'wise person', 'philosopher', 'master', 'intellect', 'expert', 'academic', 'egghead', 'brain', 'sage', 'bookworm', 'learned person', 'learner', 'pundit'}"
phlegmatic,"{'blah', 'undemonstrative', 'passive', 'unresponsive', 'deadpan', 'dull', 'listless', 'desensitized', 'indifferent', 'frigid', 'emotionless', 'cool', 'flat', 'unexcitable', 'cold', 'uninvolved', 'disinterested', 'apathetic', 'sluggish', 'groggy', 'lifeless', 'lethargic', 'uncompassionate', 'unfeeling', 'dispassionate', 'along for the ride', 'passionless'}"
imperious,"{'compulsatory', 'autocratic', 'imperial', 'authoritative', 'tyrannous', 'required', 'obligatory', 'despotic', 'imperative', 'high-handed', 'oppressive', 'exacting', 'domineering', 'arrogant', 'commanding', 'peremptory', 'mandatory', 'overweening', 'dictatorial', 'tyrannical', 'compulsory', 'haughty'}"
turpitude,"{'debauchery', 'vice', 'licentiousness', 'debasement', 'corruption', 'improbity', 'criminality', 'vileness', 'sinfulness', 'perversion', 'lewdness', 'viciousness', 'baseness', 'degradation', 'evil', 'immorality', 'wickedness'}"
dogged,"{'unshakable', 'perseverant', 'stubborn', 'obdurate', 'hanging tough', 'pigheaded', 'bullheaded', 'mulish', 'firm', 'relentless', 'unyielding', 'persevering', 'steadfast', 'steady', 'inexorable', 'tough nut', 'insistent', 'indefatigable', 'rigid', 'unbending', 'resolute', 'hard-nosed', 'inflexible', 'staunch', 'hardheaded', 'single-minded', 'unflagging', 'adamant', 'pertinacious', 'obstinate', 'tenacious', 'perseverative'}"
noisome,"{'foul', 'repulsive', 'vile', 'injurious', 'dangerous', 'smelly', 'unhealthy', 'hurtful', 'mephitic', 'deleterious', 'mischievous', 'deadly', 'yucky', 'rank', 'stinking', 'fetid', 'putrid', 'nauseating', 'loathsome', 'pestiferous', 'pernicious', 'pestilential', 'insalutary', 'sickening', 'malodorous', 'disgusting', 'horrid', 'sickly', 'insalubrious', 'harmful', 'noxious', 'baneful', 'poisonous', 'unwholesome', 'reeking', 'unhealthful'}"
latent,"{'passive', 'unseen', 'rudimentary', 'intrinsic', 'between the lines', 'concealed', 'veiled', 'covert', 'potential', 'quiescent', 'implied', 'in abeyance', 'invisible', 'inert', 'inactive', 'unexposed', 'unripe', 'contained', 'abeyant', 'inherent', 'sleeping', 'secret', 'underdeveloped', 'inoperative', 'possible', 'lurking', 'suppressed', 'tacit', 'underlying', 'idle', 'vestigial', 'torpid', 'involved', 'suspended', 'inferential', 'immature', 'unexpressed', 'unrealized', 'inferred', 'smoldering', 'undeveloped'}"
culpable,"{'found wanting', 'impeachable', 'answerable', 'wrong', 'blameful', 'dirty', 'unholy', 'guilty', 'blameworthy', 'punishable', 'in the wrong', 'responsible', 'demeritorious', 'at fault', 'caught in the act', 'smoking gun', 'to blame', 'hung up', 'sinful', 'censurable', 'caught red-handed', 'indictable', 'reprehensible', 'amiss', 'caught', 'out of line', 'off base', 'liable', 'blamable'}"
catalyst,"{'reactionary', 'agitator', 'synergist', 'stimulant', 'motivation', 'spur', 'goad', 'spark plug', 'impetus', 'impulse', 'incentive', 'reactant', 'adjuvant', 'incendiary', 'incitation', 'enzyme', 'radical stimulus', 'incitement', 'wave maker'}"
deference,"{'docility', 'condescension', 'submission', 'complaisance', 'obeisance', 'capitulation', 'yielding', 'acquiescence'}"
ephemeral,"{'brief', 'unenduring', 'fugacious', 'fleeting', 'short', 'transitory', 'temporary', 'transient', 'episodic', 'flitting', 'volatile', 'impermanent', 'short-lived', 'fugitive', 'evanescent'}"
pusillanimous,"{'tame', 'gutless', 'cowardly', 'timorous', 'chicken', 'afraid', 'timid'}"
sate,"{'surfeit', 'stuff', 'glut', 'gorge', 'gratify', 'overfill', 'satiate', 'cloy'}"
disabuse,"{'rid', 'expose', 'liberate', 'disenchant', 'correct', 'disillusion', 'enlighten', 'debunk', 'rectify', 'free'}"
pragmatic,"{'efficient', 'hardheaded', 'logical', 'practical', 'unidealistic', 'hard', 'down-to-earth', 'matter-of-fact', 'realistic', 'sober', 'utilitarian', 'businesslike', 'hard-boiled', 'commonsensical'}"
plastic,"{'pliant', 'shapeable', 'moldable', 'formable', 'fictile', 'bending', 'pliable', 'workable', 'molded', 'ductile', 'resilient', 'elastic', 'supple'}"
ingenuous,"{'undisguised', 'innocent', 'candid', 'artless', 'outspoken', 'unartificial', 'unsophisticated', 'plain', 'up front', 'childlike', 'square', 'frank', 'unartful', 'green', 'unreserved', 'unaffected', 'naive', 'natural', 'like a babe in the woods', 'guileless', 'open', 'trusting', 'straightforward', 'simple', 'unstudied', 'sincere', 'unschooled'}"
improvidence,"{'neglect', 'waste', 'carelessness', 'wastefulness', 'shortsightedness'}"
quiescence,"{'inaction', 'inactivity', 'dormancy', 'rest', 'calm', 'quiet'}"
imply,"{'hint', 'presuppose', 'connote', 'intend', 'denote', 'mention', 'intimate', 'involve', 'evidence', 'import', 'give a hint', 'signify', 'point to', 'insinuate', 'entail', 'betoken', 'designate', 'suggest', 'refer', 'include'}"
vacuous,"{'airheaded', 'superficial', 'shallow', 'void', 'foolish', 'birdbrained', 'silly', 'lamebrained', 'blank', 'dull', 'half-baked', 'minus', 'drained', 'emptied', 'stupid', 'vacant', 'inane', 'dumb', 'uncomprehending', 'unreasoning'}"
rarefy,"{'extenuate', 'diminish', 'needle', 'water', 'cook', 'disperse', 'spike', 'irrigate', 'refine', 'emaciate', 'doctor', 'prune', 'lace', 'reduce', 'attenuate', 'cut', 'delete', 'weed out', 'decrease', 'cut back', 'shave', 'water down', 'trim', 'edit', 'expand', 'weaken'}"
cadge,"{'hawk', 'panhandle', 'scrounge', 'bum', 'sponge', 'mooch', 'peddle', 'huckster'}"
fledgling,"{'nestling', 'novice', 'colt', 'tyro', 'trainee', 'neophyte', 'tenderfoot', 'greenhorn', 'newcomer', 'chick', 'apprentice', 'rookie', 'learner'}"
efficacy,"{'capableness', 'ability', 'potency', 'success', 'strength', 'effectiveness', 'capacity', 'performance', 'virtue', 'competence', 'weight', 'vigor', 'efficaciousness', 'capability', 'adequacy', 'energy', 'use', 'effect', 'sufficiency', 'influence', 'force', 'power'}"
castigate,"{'criticize', 'punish', 'chasten', 'penalize', 'censure', 'cane', 'scorch', 'beat', 'rail', 'whip', 'dress down', 'upbraid', 'flay', 'pummel', 'tongue-lash', ""jump down one's throat"", 'discipline', 'come down on', 'correct', 'scold', 'rate', 'lambaste', 'excoriate', 'berate', 'reprimand', 'chastise', 'drub', 'lash', 'ream', 'thrash', 'lean on', 'scourge', 'rebuke', 'flog', 'baste', 'chew out', 'bawl out', 'read the riot act', 'lay out', 'blister', 'drag over the coals', 'scarify', 'scathe'}"
iconoclast,"{'dissenter', 'cynic', 'dissident', 'sceptic', 'image-breaker', 'nonbeliever', 'revolutionist', 'denouncer', 'questioner', 'heretic', 'rebel', 'critic', 'ruiner', 'unbeliever', 'radical', 'non-conformist'}"
anachronism,"{'metachronism', 'misplacement', 'prolepsis', 'solecism', 'misdate', 'chronological error', 'postdate'}"
infer,"{'believe', 'figure', 'gather', 'collect', 'reason', 'presume', 'speculate', 'guess', 'surmise', 'reach conclusion', 'draw inference', 'suppose', 'ascertain', 'draw', 'figure out', 'judge', 'think', 'read between lines', 'construe', 'intuit', 'deduce', 'understand', 'presuppose', 'conjecture', 'assume', 'induce', 'glean', 'derive', 'reckon', 'arrive at', 'interpret', 'read into'}"
dearth,"{'uncommonness', 'defect', 'famine', 'scantiness', 'meagerness', 'default', 'privation', 'lack', 'deficiency', 'inadequacy', 'want', 'poverty', 'paucity', 'exiguousness', 'scantness', 'infrequency', 'need', 'slim pickings', 'sparsity', 'miss', 'shortage', 'rareness', 'absence'}"
inchoate,"{'amorphous', 'unfinished', 'unformed', 'imperfect', 'shapeless', 'just begun', 'rudimentary', 'unshaped', 'elementary', 'nascent', 'immature', 'embryonic', 'inceptive', 'incipient', 'preliminary', 'formless'}"
sedulous,"{'diligent', 'persevering', 'active', 'hard-working', 'plugging', 'industrious', 'tireless', 'busy', 'laborious', 'determined'}"
homogenous,"{'identical', 'uniform', 'kindred', 'consistent', 'alike', 'unvarying', 'analogous', 'cognate', 'like', 'akin', 'homologous'}"
ossified,"{'fossilized', 'rigid', 'hard', 'hardened', 'petrified'}"
perfidious,"{'deceptive', 'unfaithful', 'slick', 'untrustworthy', 'false', 'unloyal', 'faithless', 'insidious', 'unreliable', 'misleading', 'betraying', 'traitorous', 'recreant', 'shifty', 'undependable', 'snake in the grass', 'two-faced', 'deceitful', 'two-timing', 'double-crossing', 'double-dealing'}"
precursor,"{'messenger', 'vanguard', 'forerunner', 'herald', 'usher', 'outrider', 'harbinger'}"
